India_EB1,India_EB2,India_EB3,Date,China_EB1,China_EB2,China_EB3
0,0,0,10/1/91,0,0,0
0,21,0,11/1/91,0,0,0
0,17,0,12/1/91,0,0,0
0,15,0,1/1/92,0,0,0
0,11,0,2/1/92,0,0,0
0,0,0,3/1/92,0,0,0
0,0,0,4/1/92,0,0,0
0,0,0,5/1/92,0,0,0
0,0,0,6/1/92,0,25,0
0,16,0,7/1/92,0,26,41
0,26,0,8/1/92,0,22,42
0,27,27,9/1/92,0,23,39
0,17,18,10/1/92,0,19,18
0,17,19,11/1/92,0,19,19
0,16,18,12/1/92,0,18,19
0,16,17,1/1/93,0,17,20
0,14,17,2/1/93,0,17,20
0,12,16,3/1/93,0,18,21
0,8,13,4/1/93,0,19,21
0,0,14,5/1/93,0,19,21
0,0,0,6/1/93,0,16,21
0,0,0,7/1/93,0,8,21
0,0,0,8/1/93,0,0,0
0,0,0,9/1/93,0,0,0
0,0,15,10/1/93,0,10,3
0,0,14,11/1/93,0,21,4
0,0,11,12/1/93,0,13,5
0,0,10,1/1/94,0,12,6
0,0,8,2/1/94,0,7,7
0,0,0,3/1/94,0,0,8
0,0,0,4/1/94,0,0,9
0,0,0,5/1/94,0,0,10
0,0,0,6/1/94,0,0,11
0,0,0,7/1/94,0,0,12
0,0,0,8/1/94,0,0,13
0,0,0,9/1/94,0,0,14
0,0,0,10/1/94,0,0,15
0,0,0,11/1/94,0,0,16
0,0,0,12/1/94,0,0,17
0,0,0,1/1/95,0,0,18
0,0,0,2/1/95,0,0,19
0,0,0,3/1/95,0,0,20
0,0,0,4/1/95,0,0,21
0,0,0,5/1/95,0,0,22
0,0,0,6/1/95,0,0,23
0,0,0,7/1/95,0,0,24
0,0,0,8/1/95,0,0,21
0,0,0,9/1/95,0,0,0
0,0,0,10/1/95,0,0,0
0,0,0,11/1/95,0,0,0
0,0,0,12/1/95,0,0,0
0,0,0,1/1/96,0,0,0
0,0,0,2/1/96,0,0,0
0,0,0,3/1/96,0,0,0
0,0,0,4/1/96,0,0,0
0,0,0,5/1/96,0,0,0
0,0,0,6/1/96,0,0,0
0,0,0,7/1/96,0,0,0
0,0,0,8/1/96,0,0,0
0,0,0,9/1/96,0,0,0
0,26,33,10/1/96,0,0,0
0,24,33,11/1/96,0,0,0
0,19,33,12/1/96,0,0,0
0,18,30,1/1/97,0,0,0
0,15,29,2/1/97,0,0,0
0,12,28,3/1/97,0,0,0
0,0,26,4/1/97,0,0,0
0,0,25,5/1/97,0,0,0
0,0,24,6/1/97,0,0,0
0,0,25,7/1/97,0,0,0
0,0,24,8/1/97,0,0,0
0,0,21,9/1/97,0,0,0
0,22,22,10/1/97,0,0,0
0,23,35,11/1/97,0,0,0
0,24,36,12/1/97,11,26,49
0,20,35,1/1/98,9,22,49
0,20,34,2/1/98,9,22,49
0,21,34,3/1/98,10,23,49
0,20,35,4/1/98,10,24,50
0,21,36,5/1/98,11,24,51
0,22,36,6/1/98,12,25,52
0,20,35,7/1/98,13,26,53
0,18,32,8/1/98,13,29,52
0,16,33,9/1/98,10,28,48
0,17,34,10/1/98,11,29,49
0,17,34,11/1/98,12,30,50
0,17,35,12/1/98,13,30,51
0,18,36,1/1/99,14,31,51
0,18,37,2/1/99,14,31,51
0,18,37,3/1/99,14,30,50
0,18,37,4/1/99,13,29,50
0,18,37,5/1/99,13,27,49
0,17,37,6/1/99,11,25,49
0,9,34,7/1/99,0,22,48
0,0,0,8/1/99,0,0,0
0,0,0,9/1/99,0,0,0
0,0,0,10/1/99,0,0,0
0,0,0,11/1/99,0,0,0
0,0,0,12/1/99,0,0,0
0,0,0,1/1/00,0,0,0
0,0,0,2/1/00,0,0,0
0,0,0,3/1/00,0,0,0
0,15,39,4/1/00,0,33,39
0,13,39,5/1/00,0,34,40
0,12,40,6/1/00,0,33,41
0,11,41,7/1/00,0,30,41
0,11,42,8/1/00,0,28,38
0,10,43,9/1/00,0,18,30
0,11,44,10/1/00,0,19,31
0,12,45,11/1/00,0,20,32
0,11,45,12/1/00,0,18,32
0,12,46,1/1/01,0,17,31
0,10,45,2/1/01,0,15,30
0,8,42,3/1/01,0,12,26
0,5,38,4/1/01,0,7,22
0,0,34,5/1/01,0,0,16
0,0,29,6/1/01,0,0,10
0,0,0,7/1/01,0,0,0
0,0,0,8/1/01,0,0,0
0,0,0,9/1/01,0,0,0
0,0,0,10/1/01,0,0,0
0,0,0,11/1/01,0,0,0
0,0,0,12/1/01,0,0,0
0,0,0,1/1/02,0,0,0
0,0,0,2/1/02,0,0,0
0,0,0,3/1/02,0,0,0
0,0,0,4/1/02,0,0,0
0,0,0,5/1/02,0,0,0
0,0,0,6/1/02,0,0,0
0,0,0,7/1/02,0,0,0
0,0,0,8/1/02,0,0,0
0,0,0,9/1/02,0,0,0
0,0,0,10/1/02,0,0,0
0,0,0,11/1/02,0,0,0
0,0,0,12/1/02,0,0,0
0,0,0,1/1/03,0,0,0
0,0,0,2/1/03,0,0,0
0,0,0,3/1/03,0,0,0
0,0,0,4/1/03,0,0,0
0,0,0,5/1/03,0,0,0
0,0,0,6/1/03,0,0,0
0,0,0,7/1/03,0,0,0
0,0,0,8/1/03,0,0,0
0,0,0,9/1/03,0,0,0
0,0,0,10/1/03,0,0,0
0,0,0,11/1/03,0,0,0
0,0,0,12/1/03,0,0,0
0,0,0,1/1/04,0,0,0
0,0,0,2/1/04,0,0,0
0,0,0,3/1/04,0,0,0
0,0,0,4/1/04,0,0,0
0,0,0,5/1/04,0,0,0
0,0,0,6/1/04,0,0,0
0,0,0,7/1/04,0,0,0
0,0,0,8/1/04,0,0,0
0,0,0,9/1/04,0,0,0
0,0,0,10/1/04,0,0,0
0,0,0,11/1/04,0,0,0
0,0,0,12/1/04,0,0,0
0,0,36,1/1/05,0,0,36
0,0,37,2/1/05,0,0,37
0,0,36,3/1/05,0,0,36
0,0,36,4/1/05,0,0,36
0,0,35,5/1/05,0,0,35
0,0,36,6/1/05,0,0,36
0,0,0,7/1/05,0,0,0
0,0,0,8/1/05,0,0,0
0,0,0,9/1/05,0,0,0
38,71,93,10/1/05,69,65,65
39,72,94,11/1/05,70,66,66
34,65,83,12/1/05,53,58,59
30,60,79,1/1/06,48,55,57
24,54,73,2/1/06,37,46,58
20,50,62,3/1/06,32,44,58
15,45,62,4/1/06,27,39,59
10,40,62,5/1/06,22,28,60
5,41,62,6/1/06,11,23,59
6,42,63,7/1/06,0,16,57
7,0,64,8/1/06,0,17,58
0,0,65,9/1/06,0,18,54
0,52,66,10/1/06,0,18,53
0,46,67,11/1/06,0,19,52
0,47,68,12/1/06,0,20,52
0,48,68,1/1/07,0,21,53
0,49,69,2/1/07,0,22,54
0,50,70,3/1/07,0,23,55
0,51,71,4/1/07,0,24,56
0,52,72,5/1/07,0,25,57
0,38,48,6/1/07,0,17,48
0,0,0,7/1/07,0,0,0
0,0,0,8/1/07,0,0,0
8,41,0,9/1/07,8,20,0
0,42,78,10/1/07,0,21,73
0,43,79,11/1/07,0,22,74
0,71,79,12/1/07,0,59,74
0,96,80,1/1/08,0,60,74
0,0,81,2/1/08,0,61,75
0,0,79,3/1/08,0,51,63
0,52,78,4/1/08,0,52,62
0,52,78,5/1/08,0,52,62
0,50,79,6/1/08,0,50,63
0,51,0,7/1/08,0,51,0
0,26,0,8/1/08,0,26,0
0,25,0,9/1/08,0,25,0
0,66,87,10/1/08,0,54,84
0,65,85,11/1/08,0,53,81
0,66,86,12/1/08,0,54,82
0,66,87,1/1/09,0,54,79
0,61,88,2/1/09,0,49,76
0,61,89,3/1/09,0,49,77
0,62,89,4/1/09,0,50,73
0,63,0,5/1/09,0,51,0
0,113,0,6/1/09,0,52,0
0,114,0,7/1/09,0,114,0
0,70,0,8/1/09,0,70,0
0,56,0,9/1/09,0,56,0
0,57,102,10/1/09,0,55,92
0,58,103,11/1/09,0,55,89
0,59,103,12/1/09,0,56,90
0,60,103,1/1/10,0,56,89
0,61,104,2/1/10,0,57,89
0,61,104,3/1/10,0,56,87
0,62,103,4/1/10,0,56,86
0,63,103,5/1/10,0,56,85
0,64,104,6/1/10,0,55,84
0,57,104,7/1/10,0,56,83
0,53,103,8/1/10,0,53,83
0,52,104,9/1/10,0,52,83
0,53,105,10/1/10,0,53,83
0,54,106,11/1/10,0,53,84
0,55,107,12/1/10,0,54,84
0,56,107,1/1/11,0,55,85
0,57,108,2/1/11,0,55,85
0,58,108,3/1/11,0,56,86
0,59,108,4/1/11,0,57,85
0,58,109,5/1/11,0,57,85
0,56,110,6/1/11,0,56,85
0,52,110,7/1/11,0,52,84
0,52,110,8/1/11,0,52,85
0,53,110,9/1/11,0,53,86
0,51,111,10/1/11,0,51,86
0,48,112,11/1/11,0,48,87
0,45,112,12/1/11,0,45,87
0,36,113,1/1/12,0,36,87
0,25,114,2/1/12,0,25,86
0,22,115,3/1/12,0,22,86
0,23,115,4/1/12,0,23,85
0,57,116,5/1/12,0,57,85
0,0,117,6/1/12,0,0,82
0,0,118,7/1/12,0,0,82
0,0,118,8/1/12,0,0,81
0,0,119,9/1/12,0,0,81
0,97,120,10/1/12,0,63,80
0,98,121,11/1/12,0,62,79
0,99,121,12/1/12,0,62,77
0,100,122,1/1/13,0,61,76
0,101,123,2/1/13,0,61,75
0,102,124,3/1/13,0,61,74
0,103,124,4/1/13,0,60,72
0,104,125,5/1/13,0,60,65
0,105,125,6/1/13,0,59,57
0,106,126,7/1/13,0,59,54
0,67,127,8/1/13,0,60,55
0,63,120,9/1/13,0,61,38
0,64,121,10/1/13,0,61,39
0,65,122,11/1/13,0,61,37
0,109,123,12/1/13,0,61,26
0,110,124,1/1/14,0,61,21
0,111,125,2/1/14,0,61,20
0,112,126,3/1/14,0,61,18
0,113,127,4/1/14,0,61,18
0,114,127,5/1/14,0,61,19
0,115,128,6/1/14,0,61,92
0,70,128,7/1/14,0,60,93
0,67,129,8/1/14,0,58,69
0,64,130,9/1/14,0,59,70
0,65,131,10/1/14,0,59,66
0,117,132,11/1/14,0,59,58
0,118,132,12/1/14,0,59,54
0,119,133,1/1/15,0,59,46
0,113,134,2/1/15,0,59,41
0,98,134,3/1/15,0,54,41
0,91,135,4/1/15,0,48,51
0,85,136,5/1/15,0,35,48
0,80,137,6/1/15,0,24,45
0,81,137,7/1/15,0,21,46
0,82,134,8/1/15,0,20,134
0,116,129,9/1/15,0,116,129
0,125,139,10/1/15,0,45,48
0,111,139,11/1/15,0,45,46
0,102,140,12/1/15,0,46,44
0,95,140,1/1/16,0,47,42
0,90,140,2/1/16,0,47,40
0,89,140,3/1/16,0,43,33
0,89,140,4/1/16,0,43,32
0,90,140,5/1/16,0,44,33
0,140,141,6/1/16,0,77,77
0,140,141,7/1/16,0,78,78
79,141,141,8/1/16,79,79,79
80,139,139,9/1/16,80,80,80