Current_Year,Current_Month,1st_year,1st_month,India_EB1,2nd_year,2nd_month,India_EB2,3rd_year,3rd_month,India_EB3,Date
1991,10,C ,C ,0,C ,C ,0,C ,C ,0,10/1/91
1991,11,C ,C ,0,1990,2,21,C ,C ,0,11/1/91
1991,12,C ,C ,0,1990,7,17,C ,C ,0,12/1/91
1992,1,C ,C ,0,1990,10,15,C ,C ,0,1/1/92
1992,2,C ,C ,0,1991,3,11,C ,C ,0,2/1/92
1992,3,C ,C ,0,C ,C ,0,C ,C ,0,3/1/92
1992,4,C ,C ,0,C ,C ,0,C ,C ,0,4/1/92
1992,5,C ,C ,0,C ,C ,0,C ,C ,0,5/1/92
1992,6,C ,C ,0,C ,C ,0,C ,C ,0,6/1/92
1992,7,C ,C ,0,1991,3,16,C ,C ,0,7/1/92
1992,8,C ,C ,0,1990,6,26,C ,C ,0,8/1/92
1992,9,C ,C ,0,1990,6,27,1990,6,27,9/1/92
1992,10,C ,C ,0,1991,5,17,1991,4,18,10/1/92
1992,11,C ,C ,0,1991,6,17,1991,4,19,11/1/92
1992,12,C ,C ,0,1991,8,16,1991,6,18,12/1/92
1993,1,C ,C ,0,1991,9,16,1991,8,17,1/1/93
1993,2,C ,C ,0,1991,12,14,1991,9,17,2/1/93
1993,3,C ,C ,0,1992,3,12,1991,11,16,3/1/93
1993,4,C ,C ,0,1992,8,8,1992,3,13,4/1/93
1993,5,C ,C ,0,C ,C ,0,1992,3,14,5/1/93
1993,6,C ,C ,0,C ,C ,0,C ,C ,0,6/1/93
1993,7,C ,C ,0,C ,C ,0,C ,C ,0,7/1/93
1993,8,C ,C ,0,C ,C ,0,C ,C ,0,8/1/93
1993,9,C ,C ,0,C ,C ,0,C ,C ,0,9/1/93
1993,10,C ,C ,0,C ,C ,0,1992,7,15,10/1/93
1993,11,C ,C ,0,C ,C ,0,1992,9,14,11/1/93
1993,12,C ,C ,0,C ,C ,0,1993,1,11,12/1/93
1994,1,C ,C ,0,C ,C ,0,1993,3,10,1/1/94
1994,2,C ,C ,0,C ,C ,0,1993,6,8,2/1/94
1994,3,C ,C ,0,C ,C ,0,C ,C ,0,3/1/94
1994,4,C ,C ,0,C ,C ,0,C ,C ,0,4/1/94
1994,5,C ,C ,0,C ,C ,0,C ,C ,0,5/1/94
1994,6,C ,C ,0,C ,C ,0,C ,C ,0,6/1/94
1994,7,C ,C ,0,C ,C ,0,C ,C ,0,7/1/94
1994,8,C ,C ,0,C ,C ,0,C ,C ,0,8/1/94
1994,9,C ,C ,0,C ,C ,0,C ,C ,0,9/1/94
1994,10,C ,C ,0,C ,C ,0,C ,C ,0,10/1/94
1994,11,C ,C ,0,C ,C ,0,C ,C ,0,11/1/94
1994,12,C ,C ,0,C ,C ,0,C ,C ,0,12/1/94
1995,1,C ,C ,0,C ,C ,0,C ,C ,0,1/1/95
1995,2,C ,C ,0,C ,C ,0,C ,C ,0,2/1/95
1995,3,C ,C ,0,C ,C ,0,C ,C ,0,3/1/95
1995,4,C ,C ,0,C ,C ,0,C ,C ,0,4/1/95
1995,5,C ,C ,0,C ,C ,0,C ,C ,0,5/1/95
1995,6,C ,C ,0,C ,C ,0,C ,C ,0,6/1/95
1995,7,C ,C ,0,C ,C ,0,C ,C ,0,7/1/95
1995,8,C ,C ,0,C ,C ,0,C ,C ,0,8/1/95
1995,9,C ,C ,0,C ,C ,0,C ,C ,0,9/1/95
1995,10,C ,C ,0,C ,C ,0,C ,C ,0,10/1/95
1995,11,C ,C ,0,C ,C ,0,C ,C ,0,11/1/95
1995,12,C ,C ,0,C ,C ,0,C ,C ,0,12/1/95
1996,1,C ,C ,0,C ,C ,0,C ,C ,0,1/1/96
1996,2,C ,C ,0,C ,C ,0,C ,C ,0,2/1/96
1996,3,C ,C ,0,C ,C ,0,C ,C ,0,3/1/96
1996,4,C ,C ,0,C ,C ,0,C ,C ,0,4/1/96
1996,5,C ,C ,0,C ,C ,0,C ,C ,0,5/1/96
1996,6,C ,C ,0,C ,C ,0,U ,U ,0,6/1/96
1996,7,C ,C ,0,U ,U ,0,U ,U ,0,7/1/96
1996,8,C ,C ,0,U ,U ,0,U ,U ,0,8/1/96
1996,9,U ,U ,0,U ,U ,0,U ,U ,0,9/1/96
1996,10,C ,C ,0,1994,8,26,1994,1,33,10/1/96
1996,11,C ,C ,0,1994,11,24,1994,2,33,11/1/96
1996,12,C ,C ,0,1995,5,19,1994,3,33,12/1/96
1997,1,C ,C ,0,1995,7,18,1994,7,30,1/1/97
1997,2,C ,C ,0,1995,11,15,1994,9,29,2/1/97
1997,3,C ,C ,0,1996,3,12,1994,11,28,3/1/97
1997,4,C ,C ,0,C ,C ,0,1995,2,26,4/1/97
1997,5,C ,C ,0,C ,C ,0,1995,4,25,5/1/97
1997,6,C ,C ,0,C ,C ,0,1995,6,24,6/1/97
1997,7,C ,C ,0,C ,C ,0,1995,6,25,7/1/97
1997,8,C ,C ,0,C ,C ,0,1995,8,24,8/1/97
1997,9,C ,C ,0,C ,C ,0,1995,12,21,9/1/97
1997,10,C ,C ,0,1995,12,22,1995,12,22,10/1/97
1997,11,C ,C ,0,1995,12,23,1994,12,35,11/1/97
1997,12,C ,C ,0,1995,12,24,1994,12,36,12/1/97
1998,1,C ,C ,0,1996,5,20,1995,2,35,1/1/98
1998,2,C ,C ,0,1996,6,20,1995,4,34,2/1/98
1998,3,C ,C ,0,1996,6,21,1995,5,34,3/1/98
1998,4,C ,C ,0,1996,8,20,1995,5,35,4/1/98
1998,5,C ,C ,0,1996,8,21,1995,5,36,5/1/98
1998,6,C ,C ,0,1996,8,22,1995,6,36,6/1/98
1998,7,C ,C ,0,1996,11,20,1995,8,35,7/1/98
1998,8,C ,C ,0,1997,2,18,1995,12,32,8/1/98
1998,9,C ,C ,0,1997,5,16,1995,12,33,9/1/98
1998,10,C ,C ,0,1997,5,17,1995,12,34,10/1/98
1998,11,C ,C ,0,1997,6,17,1996,1,34,11/1/98
1998,12,C ,C ,0,1997,7,17,1996,1,35,12/1/98
1999,1,C ,C ,0,1997,7,18,1996,1,36,1/1/99
1999,2,C ,C ,0,1997,8,18,1996,1,37,2/1/99
1999,3,C ,C ,0,1997,9,18,1996,2,37,3/1/99
1999,4,C ,C ,0,1997,10,18,1996,3,37,4/1/99
1999,5,C ,C ,0,1997,11,18,1996,4,37,5/1/99
1999,6,C ,C ,0,1998,1,17,1996,5,37,6/1/99
1999,7,C ,C ,0,1998,10,9,1996,9,34,7/1/99
1999,8,C ,C ,0,C ,C ,0,C ,C ,0,8/1/99
1999,9,C ,C ,0,C ,C ,0,C ,C ,0,9/1/99
1999,10,C ,C ,0,C ,C ,0,C ,C ,0,10/1/99
1999,11,C ,C ,0,C ,C ,0,C ,C ,0,11/1/99
1999,12,C ,C ,0,C ,C ,0,C ,C ,0,12/1/99
2000,1,C ,C ,0,C ,C ,0,C ,C ,0,1/1/00
2000,2,C ,C ,0,C ,C ,0,C ,C ,0,2/1/00
2000,3,C ,C ,0,C ,C ,0,C ,C ,0,3/1/00
2000,4,C ,C ,0,1999,1,15,1997,1,39,4/1/00
2000,5,C ,C ,0,1999,4,13,1997,2,39,5/1/00
2000,6,C ,C ,0,1999,6,12,1997,2,40,6/1/00
2000,7,C ,C ,0,1999,8,11,1997,2,41,7/1/00
2000,8,C ,C ,0,1999,9,11,1997,2,42,8/1/00
2000,9,C ,C ,0,1999,11,10,1997,2,43,9/1/00
2000,10,C ,C ,0,1999,11,11,1997,2,44,10/1/00
2000,11,C ,C ,0,1999,11,12,1997,2,45,11/1/00
2000,12,C ,C ,0,2000,1,11,1997,3,45,12/1/00
2001,1,C ,C ,0,2000,1,12,1997,3,46,1/1/01
2001,2,C ,C ,0,2000,4,10,1997,5,45,2/1/01
2001,3,C ,C ,0,2000,7,8,1997,9,42,3/1/01
2001,4,C ,C ,0,2000,11,5,1998,2,38,4/1/01
2001,5,C ,C ,0,C ,C ,0,1998,7,34,5/1/01
2001,6,C ,C ,0,C ,C ,0,1999,1,29,6/1/01
2001,7,C ,C ,0,C ,C ,0,C ,C ,0,7/1/01
2001,8,C ,C ,0,C ,C ,0,C ,C ,0,8/1/01
2001,9,C ,C ,0,C ,C ,0,C ,C ,0,9/1/01
2001,10,C ,C ,0,C ,C ,0,C ,C ,0,10/1/01
2001,11,C ,C ,0,C ,C ,0,C ,C ,0,11/1/01
2001,12,C ,C ,0,C ,C ,0,C ,C ,0,12/1/01
2002,1,C ,C ,0,C ,C ,0,C ,C ,0,1/1/02
2002,2,C ,C ,0,C ,C ,0,C ,C ,0,2/1/02
2002,3,C ,C ,0,C ,C ,0,C ,C ,0,3/1/02
2002,4,C ,C ,0,C ,C ,0,C ,C ,0,4/1/02
2002,5,C ,C ,0,C ,C ,0,C ,C ,0,5/1/02
2002,6,C ,C ,0,C ,C ,0,C ,C ,0,6/1/02
2002,7,C ,C ,0,C ,C ,0,C ,C ,0,7/1/02
2002,8,C ,C ,0,C ,C ,0,C ,C ,0,8/1/02
2002,9,C ,C ,0,C ,C ,0,C ,C ,0,9/1/02
2002,10,C ,C ,0,C ,C ,0,C ,C ,0,10/1/02
2002,11,C ,C ,0,C ,C ,0,C ,C ,0,11/1/02
2002,12,C ,C ,0,C ,C ,0,C ,C ,0,12/1/02
2003,1,C ,C ,0,C ,C ,0,C ,C ,0,1/1/03
2003,2,C ,C ,0,C ,C ,0,C ,C ,0,2/1/03
2003,3,C ,C ,0,C ,C ,0,C ,C ,0,3/1/03
2003,4,C ,C ,0,C ,C ,0,C ,C ,0,4/1/03
2003,5,C ,C ,0,C ,C ,0,C ,C ,0,5/1/03
2003,6,C ,C ,0,C ,C ,0,C ,C ,0,6/1/03
2003,7,C ,C ,0,C ,C ,0,C ,C ,0,7/1/03
2003,8,C ,C ,0,C ,C ,0,C ,C ,0,8/1/03
2003,9,C ,C ,0,C ,C ,0,C ,C ,0,9/1/03
2003,10,C ,C ,0,C ,C ,0,C ,C ,0,10/1/03
2003,11,C ,C ,0,C ,C ,0,C ,C ,0,11/1/03
2003,12,C ,C ,0,C ,C ,0,C ,C ,0,12/1/03
2004,1,C ,C ,0,C ,C ,0,C ,C ,0,1/1/04
2004,2,C ,C ,0,C ,C ,0,C ,C ,0,2/1/04
2004,3,C ,C ,0,C ,C ,0,C ,C ,0,3/1/04
2004,4,C ,C ,0,C ,C ,0,C ,C ,0,4/1/04
2004,5,C ,C ,0,C ,C ,0,C ,C ,0,5/1/04
2004,6,C ,C ,0,C ,C ,0,C ,C ,0,6/1/04
2004,7,C ,C ,0,C ,C ,0,C ,C ,0,7/1/04
2004,8,C ,C ,0,C ,C ,0,C ,C ,0,8/1/04
2004,9,C ,C ,0,C ,C ,0,C ,C ,0,9/1/04
2004,10,C ,C ,0,C ,C ,0,C ,C ,0,10/1/04
2004,11,C ,C ,0,C ,C ,0,C ,C ,0,11/1/04
2004,12,C ,C ,0,C ,C ,0,C ,C ,0,12/1/04
2005,1,C ,C ,0,C ,C ,0,2002,1,36,1/1/05
2005,2,C ,C ,0,C ,C ,0,2002,1,37,2/1/05
2005,3,C ,C ,0,C ,C ,0,2002,3,36,3/1/05
2005,4,C ,C ,0,C ,C ,0,2002,4,36,4/1/05
2005,5,C ,C ,0,C ,C ,0,2002,6,35,5/1/05
2005,6,C ,C ,0,C ,C ,0,2002,6,36,6/1/05
2005,7,C ,C ,0,C ,C ,0,U ,U ,0,7/1/05
2005,8,C ,C ,0,C ,C ,0,U ,U ,0,8/1/05
2005,9,C ,C ,0,C ,C ,0,U ,U ,0,9/1/05
2005,10,2002,8,38,1999,11,71,1998,1,93,10/1/05
2005,11,2002,8,39,1999,11,72,1998,1,94,11/1/05
2005,12,2003,2,34,2000,7,65,1999,1,83,12/1/05
2006,1,2003,7,30,2001,1,60,1999,6,79,1/1/06
2006,2,2004,2,24,2001,8,54,2000,1,73,2/1/06
2006,3,2004,7,20,2002,1,50,2001,1,62,3/1/06
2006,4,2005,1,15,2002,7,45,2001,2,62,4/1/06
2006,5,2005,7,10,2003,1,40,2001,3,62,5/1/06
2006,6,2006,1,5,2003,1,41,2001,4,62,6/1/06
2006,7,2006,1,6,2003,1,42,2001,4,63,7/1/06
2006,8,2006,1,7,U ,U ,0,2001,4,64,8/1/06
2006,9,C ,C ,0,U ,U ,0,2001,4,65,9/1/06
2006,10,C ,C ,0,2002,6,52,2001,4,66,10/1/06
2006,11,C ,C ,0,2003,1,46,2001,4,67,11/1/06
2006,12,C ,C ,0,2003,1,47,2001,4,68,12/1/06
2007,1,C ,C ,0,2003,1,48,2001,5,68,1/1/07
2007,2,C ,C ,0,2003,1,49,2001,5,69,2/1/07
2007,3,C ,C ,0,2003,1,50,2001,5,70,3/1/07
2007,4,C ,C ,0,2003,1,51,2001,5,71,4/1/07
2007,5,C ,C ,0,2003,1,52,2001,5,72,5/1/07
2007,6,C ,C ,0,2004,4,38,2003,6,48,6/1/07
2007,7,C ,C ,0,C ,C ,0,C ,C ,0,7/1/07
2007,8,U ,U ,0,U ,U ,0,U ,U ,0,8/1/07
2007,9,2007,1,8,2004,4,41,U ,U ,0,9/1/07
2007,10,C ,C ,0,2004,4,42,2001,4,78,10/1/07
2007,11,C ,C ,0,2004,4,43,2001,4,79,11/1/07
2007,12,C ,C ,0,2002,1,71,2001,5,79,12/1/07
2008,1,C ,C ,0,2000,1,96,2001,5,80,1/1/08
2008,2,C ,C ,0,U ,U ,0,2001,5,81,2/1/08
2008,3,C ,C ,0,U ,U ,0,2001,8,79,3/1/08
2008,4,C ,C ,0,2003,12,52,2001,10,78,4/1/08
2008,5,C ,C ,0,2004,1,52,2001,11,78,5/1/08
2008,6,C ,C ,0,2004,4,50,2001,11,79,6/1/08
2008,7,C ,C ,0,2004,4,51,U ,U ,0,7/1/08
2008,8,C ,C ,0,2006,6,26,U ,U ,0,8/1/08
2008,9,C ,C ,0,2006,8,25,U ,U ,0,9/1/08
2008,10,C ,C ,0,2003,4,66,2001,7,87,10/1/08
2008,11,C ,C ,0,2003,6,65,2001,10,85,11/1/08
2008,12,C ,C ,0,2003,6,66,2001,10,86,12/1/08
2009,1,C ,C ,0,2003,7,66,2001,10,87,1/1/09
2009,2,C ,C ,0,2004,1,61,2001,10,88,2/1/09
2009,3,C ,C ,0,2004,2,61,2001,10,89,3/1/09
2009,4,C ,C ,0,2004,2,62,2001,11,89,4/1/09
2009,5,C ,C ,0,2004,2,63,U ,U ,0,5/1/09
2009,6,C ,C ,0,2000,1,113,U ,U ,0,6/1/09
2009,7,C ,C ,0,2000,1,114,U ,U ,0,7/1/09
2009,8,C ,C ,0,2003,10,70,U ,U ,0,8/1/09
2009,9,C ,C ,0,2005,1,56,U ,U ,0,9/1/09
2009,10,C ,C ,0,2005,1,57,2001,4,102,10/1/09
2009,11,C ,C ,0,2005,1,58,2001,4,103,11/1/09
2009,12,C ,C ,0,2005,1,59,2001,5,103,12/1/09
2010,1,C ,C ,0,2005,1,60,2001,6,103,1/1/10
2010,2,C ,C ,0,2005,1,61,2001,6,104,2/1/10
2010,3,C ,C ,0,2005,2,61,2001,7,104,3/1/10
2010,4,C ,C ,0,2005,2,62,2001,9,103,4/1/10
2010,5,C ,C ,0,2005,2,63,2001,10,103,5/1/10
2010,6,C ,C ,0,2005,2,64,2001,10,104,6/1/10
2010,7,C ,C ,0,2005,10,57,2001,11,104,7/1/10
2010,8,C ,C ,0,2006,3,53,2002,1,103,8/1/10
2010,9,C ,C ,0,2006,5,52,2002,1,104,9/1/10
2010,10,C ,C ,0,2006,5,53,2002,1,105,10/1/10
2010,11,C ,C ,0,2006,5,54,2002,1,106,11/1/10
2010,12,C ,C ,0,2006,5,55,2002,1,107,12/1/10
2011,1,C ,C ,0,2006,5,56,2002,2,107,1/1/11
2011,2,C ,C ,0,2006,5,57,2002,2,108,2/1/11
2011,3,C ,C ,0,2006,5,58,2002,3,108,3/1/11
2011,4,C ,C ,0,2006,5,59,2002,4,108,4/1/11
2011,5,C ,C ,0,2006,7,58,2002,4,109,5/1/11
2011,6,C ,C ,0,2006,10,56,2002,4,110,6/1/11
2011,7,C ,C ,0,2007,3,52,2002,5,110,7/1/11
2011,8,C ,C ,0,2007,4,52,2002,6,110,8/1/11
2011,9,C ,C ,0,2007,4,53,2002,7,110,9/1/11
2011,10,C ,C ,0,2007,7,51,2002,7,111,10/1/11
2011,11,C ,C ,0,2007,11,48,2002,7,112,11/1/11
2011,12,C ,C ,0,2008,3,45,2002,8,112,12/1/11
2012,1,C ,C ,0,2009,1,36,2002,8,113,1/1/12
2012,2,C ,C ,0,2010,1,25,2002,8,114,2/1/12
2012,3,C ,C ,0,2010,5,22,2002,8,115,3/1/12
2012,4,C ,C ,0,2010,5,23,2002,9,115,4/1/12
2012,5,C ,C ,0,2007,8,57,2002,9,116,5/1/12
2012,6,C ,C ,0,U ,U ,0,2002,9,117,6/1/12
2012,7,C ,C ,0,U ,U ,0,2002,9,118,7/1/12
2012,8,C ,C ,0,U ,U ,0,2002,10,118,8/1/12
2012,9,C ,C ,0,U ,U ,0,2002,10,119,9/1/12
2012,10,C ,C ,0,2004,9,97,2002,10,120,10/1/12
2012,11,C ,C ,0,2004,9,98,2002,10,121,11/1/12
2012,12,C ,C ,0,2004,9,99,2002,11,121,12/1/12
2013,1,C ,C ,0,2004,9,100,2002,11,122,1/1/13
2013,2,C ,C ,0,2004,9,101,2002,11,123,2/1/13
2013,3,C ,C ,0,2004,9,102,2002,11,124,3/1/13
2013,4,C ,C ,0,2004,9,103,2002,12,124,4/1/13
2013,5,C ,C ,0,2004,9,104,2002,12,125,5/1/13
2013,6,C ,C ,0,2004,9,105,2003,1,125,6/1/13
2013,7,C ,C ,0,2004,9,106,2003,1,126,7/1/13
2013,8,C ,C ,0,2008,1,67,2003,1,127,8/1/13
2013,9,C ,C ,0,2008,6,63,2003,9,120,9/1/13
2013,10,C ,C ,0,2008,6,64,2003,9,121,10/1/13
2013,11,C ,C ,0,2008,6,65,2003,9,122,11/1/13
2013,12,C ,C ,0,2004,11,109,2003,9,123,12/1/13
2014,1,C ,C ,0,2004,11,110,2003,9,124,1/1/14
2014,2,C ,C ,0,2004,11,111,2003,9,125,2/1/14
2014,3,C ,C ,0,2004,11,112,2003,9,126,3/1/14
2014,4,C ,C ,0,2004,11,113,2003,9,127,4/1/14
2014,5,C ,C ,0,2004,11,114,2003,10,127,5/1/14
2014,6,C ,C ,0,2004,11,115,2003,10,128,6/1/14
2014,7,C ,C ,0,2008,9,70,2003,11,128,7/1/14
2014,8,C ,C ,0,2009,1,67,2003,11,129,8/1/14
2014,9,C ,C ,0,2009,5,64,2003,11,130,9/1/14
2014,10,C ,C ,0,2009,5,65,2003,11,131,10/1/14
2014,11,C ,C ,0,2005,2,117,2003,11,132,11/1/14
2014,12,C ,C ,0,2005,2,118,2003,12,132,12/1/14
2015,1,C ,C ,0,2005,2,119,2003,12,133,1/1/15
2015,2,C ,C ,0,2005,9,113,2003,12,134,2/1/15
2015,3,C ,C ,0,2007,1,98,2004,1,134,3/1/15
2015,4,C ,C ,0,2007,9,91,2004,1,135,4/1/15
2015,5,C ,C ,0,2008,4,85,2004,1,136,5/1/15
2015,6,C ,C ,0,2008,10,80,2004,1,137,6/1/15
2015,7,C ,C ,0,2008,10,81,2004,2,137,7/1/15
2015,8,C ,C ,0,2008,10,82,2004,6,134,8/1/15
2015,9,C ,C ,0,2006,1,116,2004,12,129,9/1/15
2015,10,C ,C ,0,2005,5,125,2004,3,139,10/1/15
2015,11,C ,C ,0,2006,8,111,2004,4,139,11/1/15
2015,12,C ,C ,0,2007,6,102,2004,4,140,12/1/15
2016,1,C ,C ,0,2008,2,95,2004,5,140,1/1/16
2016,2,C ,C ,0,2008,8,90,2004,6,140,2/1/16
2016,3,C ,C ,0,2008,10,89,2004,7,140,3/1/16
2016,4,C ,C ,0,2008,11,89,2004,8,140,4/1/16
2016,5,C ,C ,0,2008,11,90,2004,9,140,5/1/16
2016,6,C ,C ,0,2004,10,140,2004,9,141,6/1/16
2016,7,C ,C ,0,2004,11,140,2004,10,141,7/1/16
2016,8,2010,1,79,2004,11,141,2004,11,141,8/1/16
2016,9,2010,1,80,2005,2,139,2005,2,139,9/1/16